date,code,usdprice
2021-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1759
2021-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.0246
2021-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.0246
2021-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.9869
2021-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,0.9869
2021-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.0774
2021-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.214
2022-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1555
2022-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1555
2022-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1545
2022-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1545
2022-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1598
2022-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1598
2022-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1621
2022-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1621
2022-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.4119
2022-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3998
2022-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3261
2022-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.3261
2022-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1647
2022-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1647
2022-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.4089
2022-09-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.4089
2022-10-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2954
2022-11-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2402
2022-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2169
2022-12-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.2169
2023-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.141
2023-01-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.141
2023-02-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.153
2023-03-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1496
2023-04-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1151
2023-05-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.4654
2023-06-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.4245
2023-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.5104
2023-07-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.5104
2023-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1908
2023-08-15,Western Bahr el Ghazal-Wau-Jau-Wheat flour-KG-SSP,1.1908
2006-01-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.4491
2006-02-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.4491
2006-03-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.4491
2006-04-15,"Central Equatoria-Juba-Konyokonyo-Sorghum (white, imported)-3.5 KG-SSP",1.4491
